anio_fiscal,metrica,valor,unidad
2016,approval_count,64074,loans
2017,approval_count,62431,loans
2018,approval_count,60353,loans
2019,approval_count,51908,loans
2020,approval_count,42302,loans
2021,approval_count,51853,loans
2022,approval_count,47681,loans
2023,approval_count,57362,loans
2024,approval_count,70242,loans
2025,approval_count,61268,loans
2016,gross_approval,24508478847,usd
2017,gross_approval,25808642940,usd
2018,gross_approval,25786783117,usd
2019,gross_approval,23566387415,usd
2020,gross_approval,22849122509,usd
2021,gross_approval,36835572207,usd
2022,gross_approval,25886602210,usd
2023,gross_approval,27831577830,usd
2024,gross_approval,31496292609,usd
2025,gross_approval,27976038755,usd
2016,recovery_rate_total,36.98,pct_of_purchase_amount
2017,recovery_rate_total,34.33,pct_of_purchase_amount
2018,recovery_rate_total,37.23,pct_of_purchase_amount
2019,recovery_rate_total,38.60,pct_of_purchase_amount
2020,recovery_rate_total,37.22,pct_of_purchase_amount
2021,recovery_rate_total,27.44,pct_of_purchase_amount
2022,recovery_rate_total,25.81,pct_of_purchase_amount
2023,recovery_rate_total,23.47,pct_of_purchase_amount
2024,recovery_rate_total,14.75,pct_of_purchase_amount
2025,recovery_rate_total,4.17,pct_of_purchase_amount
