cohorte,en_riesgo,usd_en_riesgo,edad_min_observable,fallidos_totales,fallidos_sin_fecha,vivos,tasa_cruda_pct
1991,16326,3834629259.01,417,2073,11,134,12.6975
1992,21160,5238129587.01,405,1902,1,203,8.9887
1993,23367,5939271828.49,393,1904,3,178,8.1482
1994,32131,7197805598.95,381,3261,0,238,10.1491
1995,48699,7175055548.64,369,6127,7,350,12.5814
1996,39744,6641405967.34,357,5178,10,237,13.0284
1997,38823,7922967140.23,345,4812,3,207,12.3947
1998,36018,7692350292.76,333,4815,4,169,13.3683
1999,37096,8683531017.11,321,5219,0,144,14.0689
2000,37600,8999368959.0,309,5557,0,71,14.7793
2001,37323,8550459826.48,297,5445,0,87,14.5889
2002,45184,10567876861.9,285,6074,0,134,13.4428
2003,59119,9689071159.0,273,9102,0,159,15.3961
2004,71283,11770580676.0,261,13172,1,280,18.4785
2005,84436,13208150176.01,249,20680,2,428,24.4919
2006,86570,12751558736.0,237,27820,1,536,32.1358
2007,88270,12578498065.33,225,32439,1,604,36.7497
2008,61636,11102683803.27,213,18671,0,700,30.2924
2009,36636,8138347278.66,201,5391,0,485,14.715
2010,39913,10185348000.0,189,3671,1,637,9.1975
2011,45628,16247328300.0,177,3146,0,1019,6.8949
2012,38889,13256492000.0,165,2439,0,1133,6.2717
2013,40416,15492120600.0,153,2422,0,1658,5.9927
2014,45962,16871102500.0,141,2942,1,2073,6.4009
2015,55421,20370589100.0,129,3797,2,3245,6.8512
2016,56789,21621109443.0,117,4075,6,5340,7.1757
2017,56079,23048544700.0,105,4327,2,8961,7.7159
2018,54195,22807991900.0,93,4277,3,11958,7.8919
2019,45671,20551938500.0,81,3057,4,14065,6.6935
2020,36464,19505213600.0,69,1461,1,13572,4.0067
2021,45165,32176622900.0,57,1277,5,24227,2.8274
2022,41764,23225139600.0,45,1706,5,28878,4.0849
2023,50197,24478207000.0,33,1735,7,40223,3.4564
2024,60032,27151307200.0,21,629,7,53912,1.0478
2025,60290,31298524100.0,9,85,2,58089,0.141
