cohorte,edad,tasa_acum_pct
1991,0,0.0
1991,3,0.0
1991,6,0.0
1991,9,0.0061
1991,12,0.0306
1991,15,0.1593
1991,18,0.343
1991,21,0.588
1991,24,0.9739
1991,27,1.3475
1991,30,1.7273
1991,33,2.1561
1991,36,2.7012
1991,39,3.2464
1991,42,3.8282
1991,45,4.3305
1991,48,4.8389
1991,51,5.3167
1991,54,5.8373
1991,57,6.3335
1991,60,6.7806
1991,63,7.24
1991,66,7.7729
1991,69,8.1894
1991,72,8.6917
1991,75,9.0837
1991,78,9.4206
1991,81,9.6962
1991,84,9.9841
1991,87,10.1923
1991,90,10.4067
1991,93,10.6088
1991,96,10.8967
1991,99,11.1417
1991,102,11.3377
1991,105,11.5644
1991,108,11.693
1991,111,11.8278
1991,114,11.8951
1991,117,11.9686
1991,120,12.0299
1992,0,0.0
1992,3,0.0
1992,6,0.0
1992,9,0.0142
1992,12,0.0662
1992,15,0.1796
1992,18,0.3072
1992,21,0.5104
1992,24,0.6994
1992,27,0.9405
1992,30,1.2382
1992,33,1.4981
1992,36,1.8289
1992,39,2.1834
1992,42,2.5047
1992,45,2.9395
1992,48,3.3459
1992,51,3.7902
1992,54,4.2817
1992,57,4.6881
1992,60,5.052
1992,63,5.3828
1992,66,5.7136
1992,69,6.0161
1992,72,6.2949
1992,75,6.6068
1992,78,6.8242
1992,81,7.0605
1992,84,7.2779
1992,87,7.4338
1992,90,7.6323
1992,93,7.8072
1992,96,7.9206
1992,99,8.0198
1992,102,8.1144
1992,105,8.1994
1992,108,8.294
1992,111,8.3932
1992,114,8.4452
1992,117,8.4972
1992,120,8.5397
1993,0,0.0
1993,3,0.0
1993,6,0.0
1993,9,0.0
1993,12,0.0214
1993,15,0.0899
1993,18,0.1712
1993,21,0.321
1993,24,0.5007
1993,27,0.7575
1993,30,0.98
1993,33,1.2325
1993,36,1.5706
1993,39,1.9472
1993,42,2.3238
1993,45,2.8202
1993,48,3.2182
1993,51,3.475
1993,54,3.7318
1993,57,4.0998
1993,60,4.4079
1993,63,4.6861
1993,66,4.9771
1993,69,5.3066
1993,72,5.6832
1993,75,5.9742
1993,78,6.1925
1993,81,6.3722
1993,84,6.522
1993,87,6.6632
1993,90,6.7873
1993,93,6.8644
1993,96,6.9799
1993,99,7.0998
1993,102,7.1682
1993,105,7.2624
1993,108,7.3095
1993,111,7.3779
1993,114,7.4378
1993,117,7.4721
1993,120,7.5448
1994,0,0.0
1994,3,0.0
1994,6,0.0
1994,9,0.0124
1994,12,0.0311
1994,15,0.0871
1994,18,0.2272
1994,21,0.4388
1994,24,0.8061
1994,27,1.2325
1994,30,1.7211
1994,33,2.2004
1994,36,2.7575
1994,39,3.187
1994,42,3.6911
1994,45,4.1082
1994,48,4.603
1994,51,5.0232
1994,54,5.4807
1994,57,5.9538
1994,60,6.3583
1994,63,6.7163
1994,66,7.096
1994,69,7.4539
1994,72,7.7028
1994,75,7.9269
1994,78,8.1012
1994,81,8.2382
1994,84,8.428
1994,87,8.5432
1994,90,8.677
1994,93,8.8077
1994,96,8.9384
1994,99,9.0318
1994,102,9.1189
1994,105,9.1967
1994,108,9.2932
1994,111,9.3492
1994,114,9.4021
1994,117,9.4301
1994,120,9.4488
1995,0,0.0
1995,3,0.0
1995,6,0.0
1995,9,0.0144
1995,12,0.0698
1995,15,0.2444
1995,18,0.5093
1995,21,0.924
1995,24,1.4415
1995,27,1.998
1995,30,2.6859
1995,33,3.2999
1995,36,3.9775
1995,39,4.5853
1995,42,5.2342
1995,45,5.8892
1995,48,6.5155
1995,51,7.1131
1995,54,7.7373
1995,57,8.2445
1995,60,8.6511
1995,63,9.0166
1995,66,9.3513
1995,69,9.6655
1995,72,9.9612
1995,75,10.1973
1995,78,10.4396
1995,81,10.6409
1995,84,10.8257
1995,87,11.0208
1995,90,11.1789
1995,93,11.337
1995,96,11.452
1995,99,11.5711
1995,102,11.6717
1995,105,11.7456
1995,108,11.7887
1995,111,11.8319
1995,114,11.8545
1995,117,11.8647
1995,120,11.877
1996,0,0.0025
1996,3,0.0025
1996,6,0.0025
1996,9,0.0201
1996,12,0.0654
1996,15,0.2114
1996,18,0.4604
1996,21,0.8102
1996,24,1.2329
1996,27,1.6782
1996,30,2.2318
1996,33,2.8935
1996,36,3.5754
1996,39,4.2547
1996,42,4.9139
1996,45,5.6436
1996,48,6.2248
1996,51,6.796
1996,54,7.2992
1996,57,7.7597
1996,60,8.1673
1996,63,8.6177
1996,66,9.0227
1996,69,9.3876
1996,72,9.7323
1996,75,10.082
1996,78,10.3638
1996,81,10.628
