cohorte,tramo_importe,edad,tasa_acum_pct
1991,01 Q1 menor,0,0.0
1991,01 Q1 menor,3,0.0
1991,01 Q1 menor,6,0.0
1991,01 Q1 menor,9,0.0245
1991,01 Q1 menor,12,0.098
1991,01 Q1 menor,15,0.4165
1991,01 Q1 menor,18,0.8819
1991,01 Q1 menor,21,1.3229
1991,01 Q1 menor,24,1.8373
1991,01 Q1 menor,27,2.5723
1991,01 Q1 menor,30,3.0622
1991,01 Q1 menor,33,3.6012
1991,01 Q1 menor,36,4.4096
1991,01 Q1 menor,39,5.022
1991,01 Q1 menor,42,5.561
1991,01 Q1 menor,45,6.1734
1991,01 Q1 menor,48,6.7614
1991,01 Q1 menor,51,7.2268
1991,01 Q1 menor,54,7.5208
1991,01 Q1 menor,57,7.8148
1991,01 Q1 menor,60,8.2803
1991,01 Q1 menor,63,8.5987
1991,01 Q1 menor,66,9.0397
1991,01 Q1 menor,69,9.3337
1991,01 Q1 menor,72,9.6521
1991,01 Q1 menor,75,10.0196
1991,01 Q1 menor,78,10.1911
1991,01 Q1 menor,81,10.3871
1991,01 Q1 menor,84,10.5341
1991,01 Q1 menor,87,10.6565
1991,01 Q1 menor,90,10.828
1991,01 Q1 menor,93,10.9015
1991,01 Q1 menor,96,11.0485
1991,01 Q1 menor,99,11.171
1991,01 Q1 menor,102,11.2445
1991,01 Q1 menor,105,11.3425
1991,01 Q1 menor,108,11.416
1991,01 Q1 menor,111,11.4405
1991,01 Q1 menor,114,11.4895
1991,01 Q1 menor,117,11.4895
1991,01 Q1 menor,120,11.4895
1991,02 Q2,0,0.0
1991,02 Q2,3,0.0
1991,02 Q2,6,0.0
1991,02 Q2,9,0.0
1991,02 Q2,12,0.0
1991,02 Q2,15,0.196
1991,02 Q2,18,0.392
1991,02 Q2,21,0.6859
1991,02 Q2,24,1.2984
1991,02 Q2,27,1.6659
1991,02 Q2,30,2.1313
1991,02 Q2,33,2.6948
1991,02 Q2,36,3.3562
1991,02 Q2,39,3.8707
1991,02 Q2,42,4.3361
1991,02 Q2,45,4.9486
1991,02 Q2,48,5.2915
1991,02 Q2,51,5.61
1991,02 Q2,54,6.3449
1991,02 Q2,57,6.9084
1991,02 Q2,60,7.2758
1991,02 Q2,63,7.7413
1991,02 Q2,66,8.2313
1991,02 Q2,69,8.5742
1991,02 Q2,72,8.9907
1991,02 Q2,75,9.4072
1991,02 Q2,78,9.6521
1991,02 Q2,81,9.7991
1991,02 Q2,84,10.0931
1991,02 Q2,87,10.3381
1991,02 Q2,90,10.4116
1991,02 Q2,93,10.6565
1991,02 Q2,96,11.0485
1991,02 Q2,99,11.2935
1991,02 Q2,102,11.4895
1991,02 Q2,105,11.661
1991,02 Q2,108,11.7589
1991,02 Q2,111,11.8324
1991,02 Q2,114,11.8814
1991,02 Q2,117,11.9549
1991,02 Q2,120,12.0284
1991,03 Q3,0,0.0
1991,03 Q3,3,0.0
1991,03 Q3,6,0.0
1991,03 Q3,9,0.0
1991,03 Q3,12,0.0
1991,03 Q3,15,0.0
1991,03 Q3,18,0.0735
1991,03 Q3,21,0.245
1991,03 Q3,24,0.4901
1991,03 Q3,27,0.7596
1991,03 Q3,30,1.1027
1991,03 Q3,33,1.5192
1991,03 Q3,36,1.9848
1991,03 Q3,39,2.6709
1991,03 Q3,42,3.3815
1991,03 Q3,45,3.7981
1991,03 Q3,48,4.2882
1991,03 Q3,51,4.8518
1991,03 Q3,54,5.3908
1991,03 Q3,57,6.0034
1991,03 Q3,60,6.469
1991,03 Q3,63,6.9346
1991,03 Q3,66,7.5717
1991,03 Q3,69,8.0617
1991,03 Q3,72,8.6743
1991,03 Q3,75,8.9684
1991,03 Q3,78,9.3605
1991,03 Q3,81,9.6545
1991,03 Q3,84,9.973
1991,03 Q3,87,10.2916
1991,03 Q3,90,10.6592
1991,03 Q3,93,10.8307
1991,03 Q3,96,11.1492
1991,03 Q3,99,11.4678
1991,03 Q3,102,11.8108
1991,03 Q3,105,12.0069
1991,03 Q3,108,12.1294
1991,03 Q3,111,12.3254
1991,03 Q3,114,12.3989
1991,03 Q3,117,12.5214
1991,03 Q3,120,12.595
1991,04 Q4 mayor,0,0.0
1991,04 Q4 mayor,3,0.0
1991,04 Q4 mayor,6,0.0
1991,04 Q4 mayor,9,0.0
1991,04 Q4 mayor,12,0.0245
1991,04 Q4 mayor,15,0.0245
1991,04 Q4 mayor,18,0.0245
1991,04 Q4 mayor,21,0.098
1991,04 Q4 mayor,24,0.2695
1991,04 Q4 mayor,27,0.3921
1991,04 Q4 mayor,30,0.6126
1991,04 Q4 mayor,33,0.8086
1991,04 Q4 mayor,36,1.0537
1991,04 Q4 mayor,39,1.4212
1991,04 Q4 mayor,42,2.0338
1991,04 Q4 mayor,45,2.4014
1991,04 Q4 mayor,48,3.014
1991,04 Q4 mayor,51,3.5776
1991,04 Q4 mayor,54,4.0921
1991,04 Q4 mayor,57,4.6067
1991,04 Q4 mayor,60,5.0968
1991,04 Q4 mayor,63,5.6849
1991,04 Q4 mayor,66,6.2485
1991,04 Q4 mayor,69,6.7876
1991,04 Q4 mayor,72,7.4492
1991,04 Q4 mayor,75,7.9392
1991,04 Q4 mayor,78,8.4783
1991,04 Q4 mayor,81,8.9439
1991,04 Q4 mayor,84,9.3359
1991,04 Q4 mayor,87,9.483
1991,04 Q4 mayor,90,9.728
1991,04 Q4 mayor,93,10.0466
1991,04 Q4 mayor,96,10.3406
1991,04 Q4 mayor,99,10.6346
1991,04 Q4 mayor,102,10.8062
1991,04 Q4 mayor,105,11.2472
1991,04 Q4 mayor,108,11.4678
1991,04 Q4 mayor,111,11.7128
1991,04 Q4 mayor,114,11.8108
1991,04 Q4 mayor,117,11.9088
1991,04 Q4 mayor,120,12.0069
1992,01 Q1 menor,0,0.0
1992,01 Q1 menor,3,0.0
1992,01 Q1 menor,6,0.0
1992,01 Q1 menor,9,0.0378
1992,01 Q1 menor,12,0.189
1992,01 Q1 menor,15,0.4159
