cohorte,tramo_plazo,edad,tasa_acum_pct
1991,01 <= 7a,0,0.0
1991,01 <= 7a,3,0.0
1991,01 <= 7a,6,0.0
1991,01 <= 7a,9,0.014
1991,01 <= 7a,12,0.07
1991,01 <= 7a,15,0.3222
1991,01 <= 7a,18,0.6164
1991,01 <= 7a,21,1.0087
1991,01 <= 7a,24,1.6531
1991,01 <= 7a,27,2.2695
1991,01 <= 7a,30,2.9
1991,01 <= 7a,33,3.4884
1991,01 <= 7a,36,4.399
1991,01 <= 7a,39,5.0574
1991,01 <= 7a,42,5.7579
1991,01 <= 7a,45,6.4584
1991,01 <= 7a,48,7.1308
1991,01 <= 7a,51,7.6632
1991,01 <= 7a,54,8.2936
1991,01 <= 7a,57,8.9661
1991,01 <= 7a,60,9.5125
1991,01 <= 7a,63,10.0728
1991,01 <= 7a,66,10.6893
1991,01 <= 7a,69,11.0955
1991,01 <= 7a,72,11.754
1991,01 <= 7a,75,12.3004
1991,01 <= 7a,78,12.6926
1991,01 <= 7a,81,13.0008
1991,01 <= 7a,84,13.3231
1991,01 <= 7a,87,13.5192
1991,01 <= 7a,90,13.7994
1991,01 <= 7a,93,14.0516
1991,01 <= 7a,96,14.4298
1991,01 <= 7a,99,14.682
1991,01 <= 7a,102,14.9201
1991,01 <= 7a,105,15.0743
1991,01 <= 7a,108,15.2143
1991,01 <= 7a,111,15.3544
1991,01 <= 7a,114,15.4105
1991,01 <= 7a,117,15.5366
1991,01 <= 7a,120,15.6066
1991,02 7-10a,0,0.0
1991,02 7-10a,3,0.0
1991,02 7-10a,6,0.0
1991,02 7-10a,9,0.0
1991,02 7-10a,12,0.0
1991,02 7-10a,15,0.065
1991,02 7-10a,18,0.2926
1991,02 7-10a,21,0.4551
1991,02 7-10a,24,0.8453
1991,02 7-10a,27,1.2029
1991,02 7-10a,30,1.4629
1991,02 7-10a,33,1.9831
1991,02 7-10a,36,2.6333
1991,02 7-10a,39,3.381
1991,02 7-10a,42,4.2588
1991,02 7-10a,45,4.7139
1991,02 7-10a,48,5.1691
1991,02 7-10a,51,5.6892
1991,02 7-10a,54,6.1769
1991,02 7-10a,57,6.4369
1991,02 7-10a,60,6.7295
1991,02 7-10a,63,6.9896
1991,02 7-10a,66,7.3472
1991,02 7-10a,69,7.7048
1991,02 7-10a,72,8.0299
1991,02 7-10a,75,8.29
1991,02 7-10a,78,8.5176
1991,02 7-10a,81,8.7126
1991,02 7-10a,84,8.9727
1991,02 7-10a,87,9.2328
1991,02 7-10a,90,9.3628
1991,02 7-10a,93,9.4928
1991,02 7-10a,96,9.7854
1991,02 7-10a,99,10.143
1991,02 7-10a,102,10.3056
1991,02 7-10a,105,10.4031
1991,02 7-10a,108,10.5332
1991,02 7-10a,111,10.5657
1991,02 7-10a,114,10.5657
1991,02 7-10a,117,10.5657
1991,02 7-10a,120,10.5657
1991,03 10-20a,0,0.0
1991,03 10-20a,3,0.0
1991,03 10-20a,6,0.0
1991,03 10-20a,9,0.0
1991,03 10-20a,12,0.0
1991,03 10-20a,15,0.0264
1991,03 10-20a,18,0.0527
1991,03 10-20a,21,0.1845
1991,03 10-20a,24,0.2635
1991,03 10-20a,27,0.3953
1991,03 10-20a,30,0.5797
1991,03 10-20a,33,0.8696
1991,03 10-20a,36,0.9223
1991,03 10-20a,39,1.1594
1991,03 10-20a,42,1.3966
1991,03 10-20a,45,1.6074
1991,03 10-20a,48,1.8445
1991,03 10-20a,51,2.2134
1991,03 10-20a,54,2.556
1991,03 10-20a,57,2.8458
1991,03 10-20a,60,3.1357
1991,03 10-20a,63,3.4783
1991,03 10-20a,66,3.9526
1991,03 10-20a,69,4.5059
1991,03 10-20a,72,4.9539
1991,03 10-20a,75,5.2437
1991,03 10-20a,78,5.6126
1991,03 10-20a,81,5.9289
1991,03 10-20a,84,6.1924
1991,03 10-20a,87,6.4295
1991,03 10-20a,90,6.614
1991,03 10-20a,93,6.7984
1991,03 10-20a,96,7.0619
1991,03 10-20a,99,7.2464
1991,03 10-20a,102,7.4835
1991,03 10-20a,105,7.9578
1991,03 10-20a,108,8.0369
1991,03 10-20a,111,8.2477
1991,03 10-20a,114,8.4058
1991,03 10-20a,117,8.4321
1991,03 10-20a,120,8.5375
1991,04 > 20a,0,0.0
1991,04 > 20a,3,0.0
1991,04 > 20a,6,0.0
1991,04 > 20a,9,0.0
1991,04 > 20a,12,0.0
1991,04 > 20a,15,0.0
1991,04 > 20a,18,0.0
1991,04 > 20a,21,0.0436
1991,04 > 20a,24,0.1307
1991,04 > 20a,27,0.1743
1991,04 > 20a,30,0.2614
1991,04 > 20a,33,0.305
1991,04 > 20a,36,0.3922
1991,04 > 20a,39,0.8279
1991,04 > 20a,42,1.22
1991,04 > 20a,45,1.6558
1991,04 > 20a,48,2.1786
1991,04 > 20a,51,2.6144
1991,04 > 20a,54,3.1373
1991,04 > 20a,57,3.7473
1991,04 > 20a,60,4.3573
1991,04 > 20a,63,4.9673
1991,04 > 20a,66,5.5773
1991,04 > 20a,69,5.8824
1991,04 > 20a,72,6.2309
1991,04 > 20a,75,6.4924
1991,04 > 20a,78,6.7102
1991,04 > 20a,81,6.9281
1991,04 > 20a,84,7.146
1991,04 > 20a,87,7.2767
1991,04 > 20a,90,7.451
1991,04 > 20a,93,7.6253
1991,04 > 20a,96,7.6688
1991,04 > 20a,99,7.8431
1991,04 > 20a,102,7.8867
1991,04 > 20a,105,8.061
1991,04 > 20a,108,8.1917
1991,04 > 20a,111,8.3224
1991,04 > 20a,114,8.366
1991,04 > 20a,117,8.4532
1991,04 > 20a,120,8.4967
1991,unknown,0,0.0
1991,unknown,3,0.0
1991,unknown,6,0.0
1991,unknown,9,0.0
1991,unknown,12,0.0
1991,unknown,15,0.0
1991,unknown,18,4.5455
1991,unknown,21,9.0909
1991,unknown,24,9.0909
1991,unknown,27,9.0909
1991,unknown,30,9.0909
1991,unknown,33,9.0909
1991,unknown,36,9.0909
1991,unknown,39,9.0909
1991,unknown,42,9.0909
1991,unknown,45,9.0909
1991,unknown,48,9.0909
1991,unknown,51,9.0909
1991,unknown,54,9.0909
1991,unknown,57,9.0909
1991,unknown,60,9.0909
1991,unknown,63,9.0909
1991,unknown,66,9.0909
1991,unknown,69,9.0909
