cohorte,sector,edad,en_riesgo,tasa_acum_pct
2001,11,36,432,0.6944
2001,11,60,432,4.3981
2001,11,84,432,12.2685
2001,21,36,73,8.2192
2001,21,60,73,8.2192
2001,21,84,73,10.9589
2001,22,36,29,0.0
2001,22,60,29,0.0
2001,22,84,29,0.0
2001,23,36,2623,2.8593
2001,23,60,2623,5.9855
2001,23,84,2623,10.3317
2001,31-33,36,4205,2.5208
2001,31-33,60,4205,5.6837
2001,31-33,84,4205,10.6302
2001,42,36,2258,2.9229
2001,42,60,2258,6.1559
2001,42,84,2258,9.9646
2001,44-45,36,7561,3.3461
2001,44-45,60,7561,7.2609
2001,44-45,84,7561,12.4983
2001,48-49,36,1015,5.6158
2001,48-49,60,1015,10.1478
2001,48-49,84,1015,15.0739
2001,51,36,589,4.4143
2001,51,60,589,7.1307
2001,51,84,589,13.073
2001,52,36,368,0.8152
2001,52,60,368,3.2609
2001,52,84,368,5.4348
2001,53,36,552,2.3551
2001,53,60,552,4.1667
2001,53,84,552,9.2391
2001,54,36,2842,3.026
2001,54,60,2842,5.5243
2001,54,84,2842,8.5855
2001,55,36,17,0.0
2001,55,60,17,0.0
2001,55,84,17,0.0
2001,56,36,1738,2.8193
2001,56,60,1738,5.4661
2001,56,84,1738,9.7814
2001,61,36,354,3.3898
2001,61,60,354,7.3446
2001,61,84,354,11.0169
2001,62,36,2777,1.7285
2001,62,60,2777,2.8808
2001,62,84,2777,4.8974
2001,71,36,728,2.4725
2001,71,60,728,5.6319
2001,71,84,728,8.9286
2001,72,36,5117,3.2441
2001,72,60,5117,6.3905
2001,72,84,5117,11.1003
2001,81,36,3982,2.5866
2001,81,60,3982,5.5249
2001,81,84,3982,9.6685
2001,unknown,36,63,12.6984
2001,unknown,60,63,14.2857
2001,unknown,84,63,20.6349
2002,11,36,535,0.1869
2002,11,60,535,7.1028
2002,11,84,535,15.1402
2002,21,36,86,1.1628
2002,21,60,86,3.4884
2002,21,84,86,4.6512
2002,22,36,33,0.0
2002,22,60,33,0.0
2002,22,84,33,0.0
2002,23,36,3078,1.7544
2002,23,60,3078,6.8551
2002,23,84,3078,9.2917
2002,31-33,36,4382,1.5974
2002,31-33,60,4382,6.5723
2002,31-33,84,4382,9.6988
2002,42,36,2658,2.0316
2002,42,60,2658,8.164
2002,42,84,2658,11.4372
2002,44-45,36,8846,1.9105
2002,44-45,60,8846,8.1958
2002,44-45,84,8846,11.7567
2002,48-49,36,1295,2.471
2002,48-49,60,1295,7.1042
2002,48-49,84,1295,10.2703
2002,51,36,654,0.9174
2002,51,60,654,6.1162
2002,51,84,654,9.1743
2002,52,36,504,0.5952
2002,52,60,504,3.1746
2002,52,84,504,3.9683
2002,53,36,675,0.4444
2002,53,60,675,4.0
