edad,cohortes_completas,factor_mediano,factor_q1,factor_q3
0,2,4738.9464,4609.9196,4867.9732
3,2,4738.9464,4609.9196,4867.9732
6,10,3154.7416,2423.993,4793.0476
9,22,605.7464,468.8145,876.0674
12,24,162.167,102.3591,246.6853
15,24,55.4101,44.5638,74.7177
18,24,27.8563,24.0232,35.9597
21,24,16.8525,14.7067,20.9997
24,24,11.6349,9.9173,12.5328
27,24,8.1861,7.2474,9.1753
30,24,6.3659,5.4541,7.0748
33,24,5.121,4.305,5.5897
36,24,4.2568,3.6308,4.5297
39,24,3.5357,3.1685,3.8652
42,24,3.0765,2.7529,3.3221
45,24,2.7218,2.4174,2.861
48,24,2.4551,2.0743,2.5465
51,24,2.2509,1.9448,2.308
54,24,2.0722,1.821,2.1401
57,24,1.8951,1.7025,1.9642
60,24,1.7659,1.5904,1.8199
63,24,1.6559,1.4959,1.7024
66,24,1.5601,1.4184,1.6003
69,24,1.4802,1.3623,1.5062
72,24,1.4038,1.3074,1.4472
75,24,1.3462,1.2655,1.3872
78,24,1.2882,1.2335,1.3406
81,24,1.243,1.2102,1.2942
84,24,1.2115,1.183,1.2575
87,24,1.1867,1.1575,1.2289
90,24,1.1634,1.1374,1.1895
93,24,1.1411,1.1173,1.1708
96,24,1.1221,1.1006,1.1447
99,24,1.1059,1.0882,1.1269
102,24,1.0918,1.0779,1.1104
105,24,1.0797,1.0645,1.0926
108,24,1.071,1.0533,1.0818
111,24,1.0603,1.0429,1.0719
114,24,1.0486,1.0368,1.0596
117,24,1.036,1.0286,1.0487
120,24,1.0306,1.0234,1.0408
123,24,1.0264,1.0171,1.0321
126,24,1.0202,1.0127,1.024
129,24,1.0134,1.0087,1.0176
132,24,1.0083,1.0049,1.011
135,24,1.004,1.0024,1.0048
138,24,1.0,1.0,1.0
