cohorte,dimension,nivel,en_riesgo
1991,global,todos,16326
1992,global,todos,21160
1993,global,todos,23367
1994,global,todos,32131
1995,global,todos,48699
1996,global,todos,39744
1997,global,todos,38823
1998,global,todos,36018
1999,global,todos,37096
2000,global,todos,37600
2001,global,todos,37323
2002,global,todos,45184
2003,global,todos,59119
2004,global,todos,71283
2005,global,todos,84436
2006,global,todos,86570
2007,global,todos,88270
2008,global,todos,61636
2009,global,todos,36636
2010,global,todos,39913
2011,global,todos,45628
2012,global,todos,38889
2013,global,todos,40416
2014,global,todos,45962
2015,global,todos,55421
2016,global,todos,56789
2017,global,todos,56079
2018,global,todos,54195
2019,global,todos,45671
2020,global,todos,36464
2021,global,todos,45165
2022,global,todos,41764
2023,global,todos,50197
2024,global,todos,60032
2025,global,todos,60290
1991,importe,01 Q1 menor,4082
1991,importe,02 Q2,4082
1991,importe,03 Q3,4081
1991,importe,04 Q4 mayor,4081
1992,importe,01 Q1 menor,5290
1992,importe,02 Q2,5290
1992,importe,03 Q3,5290
1992,importe,04 Q4 mayor,5290
1993,importe,01 Q1 menor,5842
1993,importe,02 Q2,5842
1993,importe,03 Q3,5842
1993,importe,04 Q4 mayor,5841
1994,importe,01 Q1 menor,8033
1994,importe,02 Q2,8033
1994,importe,03 Q3,8033
1994,importe,04 Q4 mayor,8032
1995,importe,01 Q1 menor,12175
1995,importe,02 Q2,12175
1995,importe,03 Q3,12175
1995,importe,04 Q4 mayor,12174
1996,importe,01 Q1 menor,9936
1996,importe,02 Q2,9936
1996,importe,03 Q3,9936
1996,importe,04 Q4 mayor,9936
1997,importe,01 Q1 menor,9706
1997,importe,02 Q2,9706
1997,importe,03 Q3,9706
1997,importe,04 Q4 mayor,9705
1998,importe,01 Q1 menor,9005
1998,importe,02 Q2,9005
1998,importe,03 Q3,9004
1998,importe,04 Q4 mayor,9004
1999,importe,01 Q1 menor,9274
1999,importe,02 Q2,9274
1999,importe,03 Q3,9274
1999,importe,04 Q4 mayor,9274
2000,importe,01 Q1 menor,9400
2000,importe,02 Q2,9400
2000,importe,03 Q3,9400
2000,importe,04 Q4 mayor,9400
2001,importe,01 Q1 menor,9331
2001,importe,02 Q2,9331
2001,importe,03 Q3,9331
2001,importe,04 Q4 mayor,9330
2002,importe,01 Q1 menor,11296
2002,importe,02 Q2,11296
2002,importe,03 Q3,11296
2002,importe,04 Q4 mayor,11296
2003,importe,01 Q1 menor,14780
2003,importe,02 Q2,14780
2003,importe,03 Q3,14780
2003,importe,04 Q4 mayor,14779
2004,importe,01 Q1 menor,17821
2004,importe,02 Q2,17821
2004,importe,03 Q3,17821
2004,importe,04 Q4 mayor,17820
2005,importe,01 Q1 menor,21109
2005,importe,02 Q2,21109
2005,importe,03 Q3,21109
2005,importe,04 Q4 mayor,21109
2006,importe,01 Q1 menor,21643
