cohorte,en_riesgo,completa,edad_min_observable,edad_lectura,tasa_cruda_pct,tasa_observada,factor_mediano,pct_perdida_ya_realizada,proyectable,terminal_proyectado_pct,terminal_q1_pct,terminal_q3_pct
1991,16326,true,417,138,12.6975,12.3117,1.0,100.0,true,12.3117,12.3117,12.3117
1992,21160,true,405,138,8.9887,8.7382,1.0,100.0,true,8.7382,8.7382,8.7382
1993,23367,true,393,138,8.1482,7.7288,1.0,100.0,true,7.7288,7.7288,7.7288
1994,32131,true,381,138,10.1491,9.5484,1.0,100.0,true,9.5484,9.5484,9.5484
1995,48699,true,369,138,12.5814,12.2035,1.0,100.0,true,12.2035,12.2035,12.2035
1996,39744,true,357,138,13.0284,12.4925,1.0,100.0,true,12.4925,12.4925,12.4925
1997,38823,true,345,138,12.3947,11.7327,1.0,100.0,true,11.7327,11.7327,11.7327
1998,36018,true,333,138,13.3683,12.5465,1.0,100.0,true,12.5465,12.5465,12.5465
1999,37096,true,321,138,14.0689,13.0715,1.0,100.0,true,13.0715,13.0715,13.0715
2000,37600,true,309,138,14.7793,13.4681,1.0,100.0,true,13.4681,13.4681,13.4681
2001,37323,true,297,138,14.5889,13.2251,1.0,100.0,true,13.2251,13.2251,13.2251
2002,45184,true,285,138,13.4428,11.7785,1.0,100.0,true,11.7785,11.7785,11.7785
2003,59119,true,273,138,15.3961,14.1207,1.0,100.0,true,14.1207,14.1207,14.1207
2004,71283,true,261,138,18.4785,17.561,1.0,100.0,true,17.561,17.561,17.561
2005,84436,true,249,138,24.4919,23.8654,1.0,100.0,true,23.8654,23.8654,23.8654
2006,86570,true,237,138,32.1358,31.5617,1.0,100.0,true,31.5617,31.5617,31.5617
2007,88270,true,225,138,36.7497,36.3612,1.0,100.0,true,36.3612,36.3612,36.3612
2008,61636,true,213,138,30.2924,29.9224,1.0,100.0,true,29.9224,29.9224,29.9224
2009,36636,true,201,138,14.715,14.3929,1.0,100.0,true,14.3929,14.3929,14.3929
2010,39913,true,189,138,9.1975,8.9419,1.0,100.0,true,8.9419,8.9419,8.9419
2011,45628,true,177,138,6.8949,6.6385,1.0,100.0,true,6.6385,6.6385,6.6385
2012,38889,true,165,138,6.2717,6.0788,1.0,100.0,true,6.0788,6.0788,6.0788
2013,40416,true,153,138,5.9927,5.8492,1.0,100.0,true,5.8492,5.8492,5.8492
2014,45962,true,141,138,6.4009,6.3335,1.0,100.0,true,6.3335,6.3335,6.3335
2015,55421,false,129,129,6.8512,6.7646,1.0134,98.68,true,6.8552,6.8235,6.8837
2016,56789,false,117,117,7.1757,7.0137,1.036,96.53,true,7.2662,7.2143,7.3553
2017,56079,false,105,105,7.7159,7.5269,1.0797,92.62,true,8.1268,8.0124,8.2239
2018,54195,false,93,93,7.8919,7.5542,1.1411,87.63,true,8.6201,8.4403,8.8445
2019,45671,false,81,81,6.6935,6.1308,1.243,80.45,true,7.6206,7.4195,7.9345
2020,36464,false,69,69,4.0067,3.4171,1.4802,67.56,true,5.058,4.6551,5.1468
2021,45165,false,57,57,2.8274,2.327,1.8951,52.77,true,4.4099,3.9617,4.5707
2022,41764,false,45,45,4.0849,3.2372,2.7218,36.74,true,8.811,7.8256,9.2616
2023,50197,false,33,33,3.4564,2.3886,5.121,19.53,true,12.232,10.2829,13.3516
2024,60032,false,21,21,1.0478,0.5031,16.8525,5.93,false,,,
2025,60290,false,9,9,0.141,0.005,605.7464,0.17,false,,,
