cohorte,en_riesgo,usd_en_riesgo,completa,edad_lectura,tasa_cruda_usd_pct,tasa_observada_usd,factor_mediano,pct_perdida_ya_realizada,proyectable,terminal_usd_pct,terminal_usd_q1_pct,terminal_usd_q3_pct
1991,16326,3834629259.01,true,138,6.5643,6.3794,1.0,100.0,true,6.3794,6.3794,6.3794
1992,21160,5238129587.01,true,138,4.3104,4.1863,1.0,100.0,true,4.1863,4.1863,4.1863
1993,23367,5939271828.49,true,138,3.4539,3.2387,1.0,100.0,true,3.2387,3.2387,3.2387
1994,32131,7197805598.95,true,138,4.0699,3.769,1.0,100.0,true,3.769,3.769,3.769
1995,48699,7175055548.64,true,138,5.4632,5.2197,1.0,100.0,true,5.2197,5.2197,5.2197
1996,39744,6641405967.34,true,138,6.2304,5.8008,1.0,100.0,true,5.8008,5.8008,5.8008
1997,38823,7922967140.23,true,138,6.0981,5.5195,1.0,100.0,true,5.5195,5.5195,5.5195
1998,36018,7692350292.76,true,138,7.3747,6.4728,1.0,100.0,true,6.4728,6.4728,6.4728
1999,37096,8683531017.11,true,138,8.6711,7.5353,1.0,100.0,true,7.5353,7.5353,7.5353
2000,37600,8999368959.0,true,138,9.3594,7.77,1.0,100.0,true,7.77,7.77,7.77
2001,37323,8550459826.48,true,138,8.953,7.2194,1.0,100.0,true,7.2194,7.2194,7.2194
2002,45184,10567876861.9,true,138,7.2026,5.2391,1.0,100.0,true,5.2391,5.2391,5.2391
2003,59119,9689071159.0,true,138,7.3097,5.6025,1.0,100.0,true,5.6025,5.6025,5.6025
2004,71283,11770580676.0,true,138,8.6086,7.3511,1.0,100.0,true,7.3511,7.3511,7.3511
2005,84436,13208150176.01,true,138,13.4242,12.2523,1.0,100.0,true,12.2523,12.2523,12.2523
2006,86570,12751558736.0,true,138,19.8499,18.7817,1.0,100.0,true,18.7817,18.7817,18.7817
2007,88270,12578498065.33,true,138,23.9144,23.0868,1.0,100.0,true,23.0868,23.0868,23.0868
2008,61636,11102683803.27,true,138,18.5928,17.9407,1.0,100.0,true,17.9407,17.9407,17.9407
2009,36636,8138347278.66,true,138,8.0389,7.6876,1.0,100.0,true,7.6876,7.6876,7.6876
2010,39913,10185348000.0,true,138,4.7351,4.4737,1.0,100.0,true,4.4737,4.4737,4.4737
2011,45628,16247328300.0,true,138,3.2918,2.9981,1.0,100.0,true,2.9981,2.9981,2.9981
2012,38889,13256492000.0,true,138,3.0161,2.7703,1.0,100.0,true,2.7703,2.7703,2.7703
2013,40416,15492120600.0,true,138,2.6994,2.5436,1.0,100.0,true,2.5436,2.5436,2.5436
2014,45962,16871102500.0,true,138,2.8088,2.771,1.0,100.0,true,2.771,2.771,2.771
2015,55421,20370589100.0,false,129,3.0142,2.9488,1.021,97.94,true,3.0107,2.9972,3.0435
2016,56789,21621109443.0,false,117,2.845,2.7914,1.0633,94.05,true,2.9681,2.9271,3.0507
2017,56079,23048544700.0,false,105,2.9176,2.8382,1.1331,88.25,true,3.216,3.1078,3.3542
2018,54195,22807991900.0,false,93,2.704,2.5911,1.236,80.91,true,3.2026,3.1106,3.4625
2019,45671,20551938500.0,false,81,2.1557,2.0058,1.455,68.73,true,2.9184,2.5732,3.1331
2020,36464,19505213600.0,false,69,1.0673,0.9581,1.8045,55.42,true,1.7289,1.4766,1.8861
2021,45165,32176622900.0,false,57,0.6928,0.6055,2.4191,41.34,true,1.4648,1.2123,1.6677
2022,41764,23225139600.0,false,45,0.9721,0.7649,3.5663,28.04,true,2.7279,2.2856,3.531
2023,50197,24478207000.0,false,33,0.7454,0.5398,7.8599,12.72,true,4.2428,3.2812,6.1766
2024,60032,27151307200.0,false,21,0.1907,0.0853,35.783,2.79,false,,,
2025,60290,31298524100.0,false,9,0.0246,0.0005,2094.7644,0.05,false,,,
