cohorte,en_riesgo,tasa_cruda_pct,tasa_36m,tasa_60m,tasa_84m
1991,16326,12.6975,2.7012,6.7806,9.9841
1992,21160,8.9887,1.8289,5.052,7.2779
1993,23367,8.1482,1.5706,4.4079,6.522
1994,32131,10.1491,2.7575,6.3583,8.428
1995,48699,12.5814,3.9775,8.6511,10.8257
1996,39744,13.0284,3.5754,8.1673,10.8696
1997,38823,12.3947,3.0858,7.2843,9.8086
1998,36018,13.3683,3.1679,7.785,9.4925
1999,37096,14.0689,3.0731,7.7097,9.5428
2000,37600,14.7793,3.3617,6.3324,10.7367
2001,37323,14.5889,2.9419,6.0124,10.3689
2002,45184,13.4428,1.516,6.4846,9.2975
2003,59119,15.3961,2.9821,7.7149,11.443
2004,71283,18.4785,3.9336,9.3501,14.6473
2005,84436,24.4919,5.1376,13.4196,19.9346
2006,86570,32.1358,8.585,22.4951,27.1249
2007,88270,36.7497,13.6105,27.6889,31.6778
2008,61636,30.2924,13.1157,21.3528,25.4218
2009,36636,14.715,5.1479,8.4562,12.0073
2010,39913,9.1975,2.4077,4.9733,7.3159
2011,45628,6.8949,1.5583,3.6995,5.3191
2012,38889,6.2717,1.3989,3.3043,4.9526
2013,40416,5.9927,1.294,3.1102,4.6145
2014,45962,6.4009,1.436,3.5573,4.8932
2015,55421,6.8512,1.7178,3.901,5.433
2016,56789,7.1757,2.0708,3.8934,5.781
2017,56079,7.7159,1.9241,4.3671,6.2234
2018,54195,7.8919,1.7234,4.7034,6.8143
2019,45671,6.6935,1.5831,3.9587,
2020,36464,4.0067,0.8502,2.63,
2021,45165,2.8274,0.7683,,
2022,41764,4.0849,1.9754,,
2023,50197,3.4564,,,
2024,60032,1.0478,,,
2025,60290,0.141,,,
